"Date & Time
Date & Time
Incident Type
Location
Disposition
Reported
Occurred","","","","",""
"4/3/19
9:41 AM","TRESPASS WARNING","4/3/19
9:41 AM - 10:40 AM","SMITH CAMPUS CENTER
1350 MASSACHUSETTS AVE
CAMBRIDGE","CLOSED",""
"Officer while on patrol was approached on a report that an unwanted guest was sleeping in the building. Officer approached
the individual and conducted a field interview. The individual was run for wants/warrants with negative results. The      
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.","","","","",""
"4/3/19
11:04 AM","THEFT REPORT","3/27/19
7:00 PM - 8:00 PM","CARPENTER CENTER
24 QUINCY ST
CAMBRIDGE","CLOSED",""
"Officer dispatched to take a report of an attempted theft in the building.","","","","",""
"4/3/19
12:27 PM","DEMONSTRATION","4/2/19
10:00 AM - 10:40 AM","SMITH CAMPUS CENTER
1350 MASSACHUSETTS AVE
CAMBRIDGE","CLOSED",""
"Officer dispatched to monitor a demonstration that went without incident.","","","","",""
"4/3/19
12:56 PM","SUSPICIOUS ACTIVITY","4/3/19
12:51 PM - 1:00 PM","LITTAUER CENTER
1805 CAMBRIDGE ST
CAMBRIDGE","CLOSED",""
"Officer dispatched to take a report of an individual who may not having authorization to be in the building using an      
emergency landline telephone.","","","","",""
"4/3/19
2:10 PM","VANDALISM","4/3/19
2:20 PM - 2:50 PM","176 LINCOLN ST
176 LINCOLN ST
ALLSTON","CLOSED",""
"Officer dispatched to take a report of tagging/graffiti done to the side of the building.","","","","",""
"4/3/19
3:09 PM","TRESPASS WARNING","4/3/19
3:08 PM - 3:30 PM","WIDENER LIBRARY
31 HARVARD YARD
CAMBRIDGE","CLOSED",""
