,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,Date/Time Reported,Incident Type,Date/Time Occurred,Location,Disposition,Description
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"4/3/19
9:41 AM"
"Officer while on patrol was approached on a report that an unwanted guest was sleeping in the building. Officer approached
the individual and conducted a field interview. The individual was run for wants/warrants with negative results. The      
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",,,,,"4/3/19
11:04 AM"
Officer dispatched to take a report of an attempted theft in the building.,,,,,"4/3/19
12:27 PM"
Officer dispatched to monitor a demonstration that went without incident.,,,,,"4/3/19
12:56 PM"
"Officer dispatched to take a report of an individual who may not having authorization to be in the building using an      
emergency landline telephone.",,,,,"4/3/19
2:10 PM"
Officer dispatched to take a report of tagging/graffiti done to the side of the building.,,,,,"4/3/19
3:09 PM"
"Officers dispatched to a report of an individual with an active trespass warning in the building. Officers arrived,       
informed the individual of the proper methods to request that the trespass warning be rescinded, and sent them on their   
way.",,,,,"4/3/19
3:44 PM"
Officer took a walk-in report of harassment.,,,,,"4/3/19
5:21 PM"
"Officers dispatched to a report of an individual who had previously caused a disturbance in the building. Officers arrived
and reported individual gone on arrival.",,,,,"4/3/19
7:23 PM"
Officer dispatched to take a report of a past suspicious incident.,,,,,"4/3/19
8:11 PM"
"Officer dispatched to a report of the smell of cigarette smoke in the building. Officer arrived and reported no smell of  
cigarette smoke. Officer advised the reporting party to continue to pursue the issue with the building manager.",,,,,"4/3/19
8:38 PM"
Date/Time Reported,Incident Type,Date/Time Occurred,Location,Disposition,Description
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,Date/Time Reported,Incident Type,Date/Time Occurred,Location,Disposition,Description,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,"4/3/19
9:41 AM"
"Officer while on patrol was approached on a report that an unwanted guest was sleeping in the building. Officer approached
the individual and conducted a field interview. The individual was run for wants/warrants with negative results. The      
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",,,,,"4/3/19
11:04 AM",Officer dispatched to take a report of an attempted theft in the building.
Officer dispatched to monitor a demonstration that went without incident.,,,,,"4/3/19
12:56 PM","Officer dispatched to take a report of an individual who may not having authorization to be in the building using an      
emergency landline telephone."
Officer dispatched to take a report of tagging/graffiti done to the side of the building.,,,,,"4/3/19
3:09 PM","Officers dispatched to a report of an individual with an active trespass warning in the building. Officers arrived,       
informed the individual of the proper methods to request that the trespass warning be rescinded, and sent them on their   
way."
Officer took a walk-in report of harassment.,,,,,"4/3/19
5:21 PM","Officers dispatched to a report of an individual who had previously caused a disturbance in the building. Officers arrived
and reported individual gone on arrival."
